estado;codigo;numero;municipio;populacao
SP;35;25607;João Ramalho;4.577
SP;35;25706;José Bonifácio;37.707
SP;35;25805;Júlio Mesquita;4.824
SP;35;25854;Jumirim;3.467
SP;35;25904;Jundiaí;426.935
SP;35;26001;Junqueirópolis;20.978
SP;35;26100;Juquiá;18.627
SP;35;26209;Juquitiba;31.844
SP;35;26308;Lagoinha;4.882
SP;35;26407;Laranjal Paulista;29.047
SP;35;26506;Lavínia;12.581
SP;35;26605;Lavrinhas;7.361
SP;35;26704;Leme;105.273
SP;35;26803;Lençóis Paulista;69.533
SP;35;26902;Limeira;310.783
SP;35;27009;Lindóia;8.201
SP;35;27108;Lins;78.978
SP;35;27207;Lorena;89.532
SP;35;27256;Lourdes;2.311
SP;35;27306;Louveira;51.007
SP;35;27405;Lucélia;22.022
SP;35;27504;Lucianópolis;2.412
SP;35;27603;Luís Antônio;15.628
SP;35;27702;Luiziânia;5.918
SP;35;27801;Lupércio;4.608
SP;35;27900;Lutécia;2.623
SP;35;28007;Macatuba;17.263
SP;35;28106;Macaubal;8.174
SP;35;28205;Macedônia;3.686
SP;35;28304;Magda;3.086
SP;35;28403;Mairinque;47.723
SP;35;28502;Mairiporã;103.645
SP;35;28601;Manduri;9.972
SP;35;28700;Marabá Paulista;6.039
SP;35;28809;Maracaí;14.069
SP;35;28858;Marapoama;3.097
SP;35;28908;Mariápolis;4.098
SP;35;29005;Marília;242.249
SP;35;29104;Marinópolis;2.101
SP;35;29203;Martinópolis;26.791
SP;35;29302;Matão;84.069
SP;35;29401;Mauá;481.725
SP;35;29500;Mendonça;5.638
SP;35;29609;Meridiano;3.813
SP;35;29658;Mesópolis;1.903
SP;35;29708;Miguelópolis;22.480
SP;35;29807;Mineiros do Tietê;13.023
SP;35;29906;Miracatu;19.511
SP;35;30003;Mira Estrela;3.125
SP;35;30102;Mirandópolis;29.844
SP;35;30201;Mirante do Paranapanema;18.415
SP;35;30300;Mirassol;60.768
SP;35;30409;Mirassolândia;4.966
SP;35;30508;Mococa;69.072
SP;35;30607;Mogi das Cruzes;455.587
SP;35;30706;Mogi Guaçu;154.146
SP;35;30805;Mogi Mirim;94.098
SP;35;30904;Mombuca;3.523
SP;35;31001;Monções;2.274
SP;35;31100;Mongaguá;58.567
SP;35;31209;Monte Alegre do Sul;8.181
SP;35;31308;Monte Alto;51.039
SP;35;31407;Monte Aprazível;25.651
SP;35;31506;Monte Azul Paulista;18.928
SP;35;31605;Monte Castelo;4.166
SP;35;31704;Monteiro Lobato;4.739
SP;35;31803;Monte Mor;61.707
SP;35;31902;Morro Agudo;33.598
SP;35;32009;Morungaba;13.936
SP;35;32058;Motuca;4.831
SP;35;32108;Murutinga do Sul;4.525
SP;35;32157;Nantes;3.215
SP;35;32207;Narandiba;4.950
SP;35;32306;Natividade da Serra;6.624
SP;35;32405;Nazaré Paulista;18.866
SP;35;32504;Neves Paulista;8.917
SP;35;32603;Nhandeara;11.575
SP;35;32702;Nipoã;5.381
SP;35;32801;Nova Aliança;7.161
SP;35;32827;Nova Campina;9.962
SP;35;32843;Nova Canaã Paulista;1.824
SP;35;32868;Nova Castilho;1.290
SP;35;32900;Nova Europa;11.519
SP;35;33007;Nova Granada;21.871
SP;35;33106;Nova Guataporanga;2.333
SP;35;33205;Nova Independência;4.135
SP;35;33254;Novais;6.057
SP;35;33304;Nova Luzitânia;4.217
SP;35;33403;Nova Odessa;61.716
SP;35;33502;Novo Horizonte;41.765
SP;35;33601;Nuporanga;7.522
SP;35;33700;Ocauçu;4.294
SP;35;33809;Óleo;2.447
SP;35;33908;Olímpia;55.477
SP;35;34005;Onda Verde;4.462
SP;35;34104;Oriente;6.569
SP;35;34203;Orindiúva;7.318
SP;35;34302;Orlândia;44.682
SP;35;34401;Osasco;701.428
SP;35;34500;Oscar Bressane;2.603
SP;35;34609;Osvaldo Cruz;33.118
SP;35;34708;Ourinhos;115.139
SP;35;34757;Ouroeste;10.712
SP;35;34807;Ouro Verde;8.676
SP;35;34906;Pacaembu;14.326
SP;35;35002;Palestina;13.285
SP;35;35101;Palmares Paulista;13.691
SP;35;35200;Palmeira d'Oeste;9.173
SP;35;35309;Palmital;22.322
SP;35;35408;Panorama;15.944
SP;35;35507;Paraguaçu Paulista;46.180
SP;35;35606;Paraibuna;18.302
SP;35;35705;Paraíso;6.536
SP;35;35804;Paranapanema;20.588
SP;35;35903;Paranapuã;4.112
SP;35;36000;Parapuã;10.934
SP;35;36109;Pardinho;6.579
SP;35;36208;Pariquera-Açu;19.797
SP;35;36257;Parisi;2.177
SP;35;36307;Patrocínio Paulista;14.941
SP;35;36406;Paulicéia;7.540
SP;35;36505;Paulínia;114.508
SP;35;36570;Paulistânia;1.835
SP;35;36604;Paulo de Faria;8.973
